Seq_HBWBLv5,Scientific_name,Order,Family,Common_name,SISRecID,AvibaseID,Parasite,Mound,NestSite_ground,NestSite_tree,NestSite_nontree,NestSite_cliff_bank,NestSite_underground,NestSite_waterbody,NestSite_termite_ant,NestStr_scrape,NestStr_platform,NestStr_cup,NestStr_dome,NestStr_dome_tunnel,NestStr_primary_cavity,NestStr_second_cavity,NestAtt_basal,NestAtt_forked,NestAtt_lateral,NestAtt_pensile,Ref_site,Ref_str,Ref_att,Identifier,Retrieval_time
1,Struthio camelus,Struthioniformes,Struthionidae,Common Ostrich,45020636,AVIBASE-2247CB05,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,H,H,H,"Tsao, Fang, Tsai",[2023 Aug~2023 Sep]
2,Struthio molybdophanes,Struthioniformes,Struthionidae,Somali Ostrich,22732795,AVIBASE-40329BB6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,N,N,"Su, Tsai",[2022 Nov~2022 Dec]
3,Rhea americana,Struthioniformes,Rheidae,Greater Rhea,22678073,AVIBASE-00986B24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,H,H,H,"Tsao, Fang",[2018 Sep~2018 Dec]
4,Rhea pennata,Struthioniformes,Rheidae,Lesser Rhea,22728199,AVIBASE-BA52A675,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,H,H,H,Su,[2018 Sep~2018 Dec]
5,Rhea tarapacensis,Struthioniformes,Rheidae,Puna Rhea,22728206,AVIBASE-499B75D1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,D1,D1,D1,"Su, Tsai",[2023 Aug~2023 Sep]
6,Nothocercus julius,Struthioniformes,Tinamidae,Tawny-breasted Tinamou,22678157,AVIBASE-5FB99321,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,O001,O001,O001,"Su, Tsai",[2019 May~2019 Nov]
7,Nothocercus bonapartei,Struthioniformes,Tinamidae,Highland Tinamou,22678154,AVIBASE-66C31E09,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,H,H,H,"Su, Tsai",[2022 Nov~2022 Dec]
8,Nothocercus nigrocapillus,Struthioniformes,Tinamidae,Hooded Tinamou,22678160,AVIBASE-68E763AE,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,O002,O002,O002,"Su, Tsai",[2019 May~2019 Nov]
9,Tinamus tao,Struthioniformes,Tinamidae,Grey Tinamou,22678135,AVIBASE-346D16D5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,H,H,H,Su,[2019 Jan~2019 Apr]
10,Tinamus solitarius,Struthioniformes,Tinamidae,Solitary Tinamou,22678139,AVIBASE-67E5E0FA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,H,H,H,Su,[2019 Jan~2019 Apr]
11,Tinamus osgoodi,Struthioniformes,Tinamidae,Black Tinamou,22678145,AVIBASE-63C5F122,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,H,N,H,"Su, Tsai",[2022 Nov~2022 Dec]
