HBWv5_BL_Sequence,HBWv5_BL_Scientific_name,AVONET_BirdLife_AvibaseID1,Egg,Cooperative
1,Struthio camelus,AVIBASE-2247CB05,1500,0
2,Struthio molybdophanes,AVIBASE-40329BB6,1500,0
3,Rhea americana,AVIBASE-00986B24,650,1
4,Rhea pennata,AVIBASE-BA52A675,621.5,0
5,Rhea tarapacensis,AVIBASE-499B75D1,621.5,0
6,Nothocercus julius,AVIBASE-5FB99321,48.02598117,0
7,Nothocercus bonapartei,AVIBASE-66C31E09,52.86981829,0
8,Nothocercus nigrocapillus,AVIBASE-68E763AE,43.03446928,0
9,Tinamus tao,AVIBASE-346D16D5,92.4,0
10,Tinamus solitarius,AVIBASE-67E5E0FA,82.75,0
11,Tinamus osgoodi,AVIBASE-63C5F122,79.39743425,0
12,Tinamus major,AVIBASE-42D72AE1,66.5,0
13,Tinamus guttatus,AVIBASE-0480B7C9,48.77356481,0
14,Crypturellus berlepschi,AVIBASE-9B036853,39.26060162,0
15,Crypturellus cinereus,AVIBASE-7C90F8DB,40,0
16,Crypturellus ptaritepui,AVIBASE-F5F9A63F,32.66494583,0
17,Crypturellus soui,AVIBASE-39DD9DD7,21.45,0
18,Crypturellus obsoletus,AVIBASE-D624C373,36,0
19,Crypturellus undulatus,AVIBASE-7A600A0F,48.5,0
20,Crypturellus strigulosus,AVIBASE-FE2B5A6B,37,0
21,Crypturellus duidae,AVIBASE-D2592D39,33.66560596,0
22,Crypturellus erythropus,AVIBASE-4E03F38D,37.12769919,0
23,Crypturellus noctivagus,AVIBASE-7507BE36,45.5,0
24,Crypturellus atrocapillus,AVIBASE-41631439,35.19274652,0
25,Crypturellus occidentalis,AVIBASE-8A2D8FB6,33.38860703,0
26,Crypturellus cinnamomeus,AVIBASE-BC6EF580,33.38860703,0
27,Crypturellus transfasciatus,AVIBASE-D303E7FF,24.39209855,0
28,Crypturellus boucardi,AVIBASE-5183B60E,34.59735377,0
29,Crypturellus kerriae,AVIBASE-2ED97B54,32.66494583,0
30,Crypturellus variegatus,AVIBASE-F8BBC7A7,30.9,0
31,Crypturellus brevirostris,AVIBASE-45EE168A,32.66494583,0
32,Crypturellus bartletti,AVIBASE-88B9ABC1,21.51806007,0
33,Crypturellus casiquiare,AVIBASE-26D1CE28,32.66494583,0
34,Crypturellus parvirostris,AVIBASE-2988DEC6,19,0
35,Crypturellus tataupa,AVIBASE-9C7F2C57,21.3,0
36,Rhynchotus rufescens,AVIBASE-C141F60A,55,0
37,Rhynchotus maculicollis,AVIBASE-94AF5DC7,55,NA
38,Nothoprocta taczanowskii,AVIBASE-368EC295,36.55205354,0
39,Nothoprocta ornata,AVIBASE-286A2FBA,39,0
40,Nothoprocta perdicaria,AVIBASE-F900EE88,35.51021553,0
41,Nothoprocta cinerascens,AVIBASE-4C8BCEC2,34,0
42,Nothoprocta pentlandii,AVIBASE-7A66539A,25.83973818,0
43,Nothoprocta curvirostris,AVIBASE-F68CA24D,30.44421574,0
44,Nothura boraquira,AVIBASE-458340C7,24.55914694,0
45,Nothura minor,AVIBASE-99D7964C,12.55,0
46,Nothura darwinii,AVIBASE-F7D16275,21,0
47,Nothura maculosa,AVIBASE-03C3DDFB,22.5,0
48,Taoniscus nanus,AVIBASE-B62C4561,5.609848443,0
49,Eudromia elegans,AVIBASE-4E215E82,43,0
50,Eudromia formosa,AVIBASE-9337459C,53.40426992,0
51,Tinamotis pentlandii,AVIBASE-0A51B426,46.65710342,0
52,Tinamotis ingoufi,AVIBASE-EC451D91,51.07769068,0
53,Casuarius casuarius,AVIBASE-8B9D93D8,617,0
54,Casuarius bennetti,AVIBASE-7751E0D1,428,0
55,Casuarius unappendiculatus,AVIBASE-32E7303B,663,0
56,Dromaius novaehollandiae,AVIBASE-2DB5A970,579.6,0
57,Dromaius minor,#N/A,NA,0
58,Dromaius baudinianus,#N/A,NA,NA
59,Apteryx haastii,AVIBASE-0D8B9E40,428,0
60,Apteryx owenii,AVIBASE-187706CF,300.5,0
61,Apteryx mantelli,AVIBASE-DB55CB8C,430,NA
62,Apteryx australis,AVIBASE-6BA55EF0,430,1
63,Apteryx rowi,AVIBASE-D433BDAB,430,1
64,Alectura lathami,AVIBASE-6BD20F58,185,0
65,Aepypodius arfakianus,AVIBASE-06637487,192,0
66,Aepypodius bruijnii,AVIBASE-638C9A70,58.15876271,0
67,Talegalla cuvieri,AVIBASE-9F3603B0,179.385199,0
68,Talegalla fuscirostris,AVIBASE-49888E04,155.9054132,0
69,Talegalla jobiensis,AVIBASE-DF603601,195.5,0
70,Leipoa ocellata,AVIBASE-BE7FA465,174,0
71,Macrocephalon maleo,AVIBASE-7B3B8F2F,161,0
72,Eulipoa wallacei,AVIBASE-9CE98D28,98.8,0
73,Megapodius nicobariensis,AVIBASE-F4042498,128.7682052,0
74,Megapodius cumingii,AVIBASE-A3FF8DCA,122.656869,0
75,Megapodius bernsteinii,AVIBASE-034D904B,128.7682052,0
76,Megapodius tenimberensis,AVIBASE-8A966B18,129,NA
77,Megapodius layardi,AVIBASE-45EEB735,117.2031025,0
78,Megapodius laperouse,AVIBASE-E19BE428,73.84648213,0
79,Megapodius pritchardii,AVIBASE-69BBDE32,75,NA
80,Megapodius freycinet,AVIBASE-D3A0B18E,121.5,0
81,Megapodius geelvinkianus,AVIBASE-8252F53B,117,NA
82,Megapodius decollatus,AVIBASE-FAE8B00D,112.9994352,0
83,Megapodius eremita,AVIBASE-5795BC17,102,0
84,Megapodius reinwardt,AVIBASE-73651931,129,0
85,Chamaepetes unicolor,AVIBASE-8C688594,94.45369307,0
86,Chamaepetes goudotii,AVIBASE-B019CEB9,96.8,0
87,Penelopina nigra,AVIBASE-E627D25F,79.91492898,0
88,Penelope argyrotis,AVIBASE-540D21F5,74.44434709,0
89,Penelope barbata,AVIBASE-89605A18,74.44434709,0
90,Penelope ortoni,AVIBASE-BA3D0CC1,96.99905772,0
91,Penelope montagnii,AVIBASE-6CF279AC,66.27892615,0
92,Penelope marail,AVIBASE-B08C691D,87,0
93,Penelope superciliaris,AVIBASE-28799734,72,0
94,Penelope dabbenei,AVIBASE-D3E64B50,99.81819841,0
95,Penelope jacquacu,AVIBASE-1D1EDAF0,118.5207132,0
96,Penelope purpurascens,AVIBASE-01A38979,103.4,0
97,Penelope perspicax,AVIBASE-2296FCC4,103.4,0
98,Penelope albipennis,AVIBASE-D10D229A,127.1899995,0
99,Penelope obscura,AVIBASE-C082DE35,127.6942975,0
100,Penelope pileata,AVIBASE-474C532A,114,0
101,Penelope ochrogaster,AVIBASE-1CE8F9FE,96.99905772,0
102,Penelope jacucaca,AVIBASE-7DDADC44,96,0
103,Pipile pipile,AVIBASE-9D2FC800,107,0
104,Pipile cumanensis,AVIBASE-0440B291,95.82402737,0
105,Pipile grayi,AVIBASE-601C4D19,95.82402737,0
106,Pipile cujubi,AVIBASE-B261EA96,107,0
107,Pipile jacutinga,AVIBASE-DA1A931A,106,0
108,Aburria aburri,AVIBASE-50A42775,100,0
109,Oreophasis derbianus,AVIBASE-9584A5CA,143.0405461,0
110,Ortalis vetula,AVIBASE-F4F49CCB,56,0
111,Ortalis cinereiceps,AVIBASE-3760C5DC,63,0
