Species,Family,RedlistCategory,Threat,LogRangeSize,LogBodyMass,Diet,Foraging,Migration,MatingSystem,NestPlacement,Territoriality,Habitat,IslandDwelling,LogClutchSize,LogNightLights,LogHumanPopulationDensity
Abeillia_abeillei,Trochilidae,LC,0,11.88176601,0.993251773,Nectar,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.693147181,1.243367397,4.705015521
Abroscopus_albogularis,Scotocercidae,LC,0,14.3488716,1.576914721,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.386294361,1.126435863,4.984975547
Abroscopus_schisticeps,Scotocercidae,LC,0,13.72022633,1.547562509,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.504077397,0.965783571,3.998200702
Abroscopus_superciliaris,Scotocercidae,LC,0,14.72917304,1.86872051,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.252762968,1.238132049,4.838660029
Aburria_aburri,Cracidae,NT,0,11.84430404,7.24784952,Fruit,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.890315245,0.960184589,3.206803244
Acanthagenys_rufogularis,Meliphagidae,LC,0,15.60334644,3.867025639,Nectar,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.916290732,0.692519424,1.131402111
Acanthidops_bairdii,Thraupidae,LC,0,8.464488375,2.772588722,Invertebrates,ArborealGleaning,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.914402157,1.042246635,2.960105096
Acanthisitta_chloris,Acanthisittidae,LC,0,12.22282405,1.932969638,Invertebrates,BarkGleaning,Sedentary,Cooperative,Cavity,weak,Terrestrial,No,1.386294361,0.924337803,2.140066163
Acanthiza_apicalis,Acanthizidae,LC,0,15.23246399,2.03077637,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,0.916290732,0.622332977,0.641853886
Acanthiza_chrysorrhoa,Acanthizidae,LC,0,15.34290251,2.228938553,Invertebrates,GroundForaging,Sedentary,Cooperative,Cavity,strong,Terrestrial,No,1.252762968,0.779920671,1.648658626
