"","Enclosed","Dome","Cavity","Open","Egg","Ground","Cooperative","Clutch","Migration","pred","tmean","dtr","hurs","rsds","vpd","precp","wind","Order"
"Abeillia_abeillei",0,0,0,1,-0.96364067990292,0,0,0.693147181,1,97.1856343283582,20.4585714002154,8.76354153476544,65.2149887796658,18.5576046767519,860.80081956778,168.994671294938,1.96631157598389,"Caprimulgiformes"
"Abroscopus_albogularis",1,0,1,0,-0.159579510296949,0,0,1.386294361,1,115.892778349757,20.0942826528797,8.12712741112039,64.3542102239188,14.8172410316091,869.632161255601,200.216988374598,2.23894767306284,"Passeriformes"
"Abroscopus_schisticeps",1,0,1,1,-0.158021918578631,0,0,1.504077397,1,106.35141978658,16.596393939675,9.80040498848396,61.6663104557693,17.9572113697385,774.690567383651,193.540455998769,2.002139966879,"Passeriformes"
"Abroscopus_superciliaris",1,0,1,1,0.0621177098995735,0,0,1.252762968,1,134.160918993483,24.1829689028419,7.664199831778,66.1834537110716,17.0707330092691,1032.55216414499,232.847608060845,1.75102518973299,"Passeriformes"
"Aburria_aburri",0,0,0,1,4.60517018598809,0,0,0.890315245,1,101.309697601668,18.6154734161027,7.47026560726703,67.9871163671531,16.5336800009416,712.909924360957,237.337463347084,1.14934053905192,"Galliformes"
"Acanthagenys_rufogularis",0,0,0,1,1.69561560867515,0,0,0.916290732,1,36.0619249823071,22.3242639812497,13.0772163251703,46.1128837300179,24.2328982510319,1538.0279897762,27.0971574021968,4.28541575317967,"Passeriformes"
"Acanthidops_bairdii",0,0,0,1,0.751869260985841,0,0,0.914402157,2,91.0238095238095,13.7450729097639,7.10033510980152,68.2893063681466,15.8048265775045,498.379981631324,371.459435599191,1.71011827531315,"Passeriformes"
"Acanthisitta_chloris",1,0,1,0,0.300104592450338,1,1,1.386294361,1,1.78768844221106,9.90478581729247,7.32815156450224,64.824577087134,18.1114216258178,444.128455061409,195.672145330726,5.00944612733084,"Passeriformes"
"Acanthiza_apicalis",1,1,0,0,0.345356141901854,0,0,0.916290732,1,34.3154989188941,21.9655436424859,13.1505405875551,46.0751694762049,24.4443889617393,1504.12632377243,25.2168964981654,4.32193115372093,"Passeriformes"
"Acanthiza_chrysorrhoa",1,1,0,0,0.364643113587909,0,1,1.252762968,1,35.6463931018554,20.6809406956181,12.5726604025178,48.6350779574869,23.7912451022858,1342.72059826826,34.765001644814,4.05073670157844,"Passeriformes"
