"","Enclosed","Dome","Cavity","Open","Egg","Ground","Cooperative","Clutch","Migration","pred","tmean","dtr","hurs","rsds","vpd","precp","wind","Order","PC1","PC2"
"Abeillia_abeillei",0,0,0,1,-0.96364067990292,0,0,0.693147181,1,97.1856343283582,20.4585714002154,8.76354153476544,65.2149887796658,18.5576046767519,860.80081956778,168.994671294938,1.96631157598389,"Caprimulgiformes",-1.11599011985449,0.242365537439905
"Abroscopus_albogularis",1,0,1,0,-0.159579510296949,0,0,1.386294361,1,115.892778349757,20.0942826528797,8.12712741112039,64.3542102239188,14.8172410316091,869.632161255601,200.216988374598,2.23894767306284,"Passeriformes",-1.78088420900665,-0.125753236834233
"Abroscopus_schisticeps",1,0,1,1,-0.158021918578631,0,0,1.504077397,1,106.35141978658,16.596393939675,9.80040498848396,61.6663104557693,17.9572113697385,774.690567383651,193.540455998769,2.002139966879,"Passeriformes",-0.860590380370524,-0.143155411373109
"Acanthidops_bairdii",0,0,0,1,0.751869260985841,0,0,0.914402157,2,91.0238095238095,13.7450729097639,7.10033510980152,68.2893063681466,15.8048265775045,498.379981631324,371.459435599191,1.71011827531315,"Passeriformes",-3.13107464515234,-0.789174854390425
"Accipiter_brevipes",0,0,0,1,3.0842009215416,0,0,1.386294361,3,50.0552558508528,12.8088290237993,10.5526199962732,54.2127904940389,19.3320711810737,820.584793824404,39.9044257408946,3.84146263261534,"Accipitriformes",1.60936968273287,-0.836089829092011
"Accipiter_cooperii",0,0,0,1,3.68887945411394,0,0,1.504077397,3,53.9314803432812,13.1871400713955,11.5797921889669,53.6600550861459,21.3156450390097,802.293216407903,77.4022763373788,3.20856261493925,"Accipitriformes",1.66422643522174,-0.409601610381813
"Accipiter_gentilis",0,0,0,1,4.06044301054642,0,0,1.252762968,2,43.2411158685938,4.44206078794367,9.78778747570282,57.8406386664206,17.5121977783713,446.858829285984,57.3937582904791,3.06635422798324,"Accipitriformes",0.569761485838062,-2.04826393174349
"Accipiter_gularis",0,0,0,1,2.89037175789616,0,0,1.252762968,3,49.2671703484712,6.20113023410608,10.863125611512,54.958222266654,18.4478876457393,504.281107539524,66.6420903378171,3.0032520117991,"Accipitriformes",1.00651971038916,-1.64984030656283
"Accipiter_gundlachi",0,0,0,1,3.96468505616119,0,0,1.252762968,1,14.5625,24.5026733194079,6.96094128063747,63.5495398214885,19.5750995704106,1126.36351912362,133.05030308451,2.54671565390059,"Accipitriformes",-0.699850689084585,0.856005566782403
"Accipiter_nisus",0,0,0,1,3.11351530921037,0,0,1.504077397,2,45.2268155295096,5.58115282051091,9.68845111447699,57.7694588493978,17.2611633676679,482.900225949004,57.7272986943592,2.97095393115598,"Accipitriformes",0.468234425891559,-1.89952919671919
"Accipiter_soloensis",0,0,0,1,2.83321334405622,0,0,1.386294361,3,82.947415649677,16.6971664601684,8.3702520706503,61.3214989646424,15.3704171290692,779.818221443434,161.075288777889,2.83387788539192,"Accipitriformes",-0.96597090197624,-0.643613484386928
"Aceros_leucocephalus",1,0,1,0,3.6576510201803,0,0,0.693147181,1,62.8501742160279,24.4482661523055,5.6111176121941,69.5355510512295,18.0419430549967,943.230668018089,249.749598858664,1.94297732355703,"Bucerotiformes",-2.46030008270495,0.647466660947633
"Aceros_nipalensis",1,0,1,0,4.06902675423781,0,0,0.405465108,1,125.843657817109,20.3251279707152,8.85274429349421,64.0390183035251,16.2076266420978,878.019738139375,226.565705601515,1.70436108256512,"Bucerotiformes",-1.77845488010686,0.228266510755073
"Aceros_subruficollis",1,0,1,0,4.01096295328305,0,0,0.693147181,1,123.969205834684,24.4702483104539,8.23169521535815,65.8576492544511,17.1395613501872,1052.71179169542,255.748949604251,2.05831195440632,"Bucerotiformes",-1.875506276343,0.804666997872299
"Aceros_waldeni",1,0,1,0,3.6576510201803,0,0,0.916290732,1,38.6470588235294,24.4588467093075,5.6639232635498,70.6198779835421,17.3498852673699,912.25874597886,262.415284998277,3.50981410811929,"Bucerotiformes",-2.05225154625473,0.0964301468330426
